,enum_type,value
out_put_client,TRUE,TRUE
out_put_server,FALSE,FALSE
,master_horse_training_lane_type,Empty
,master_horse_training_lane_type,ShortObstacle
,master_horse_training_lane_type,TallObstacle
,master_horse_training_lane_type,Coin
,master_horse_training_lane_type,JumpCoin
,master_horse_type,None
,master_horse_type,Fire
,master_horse_type,Lighting
,master_horse_type,Frost
,master_training_modular_block_type,None
,master_training_modular_block_type,Modular
,master_training_modular_block_type,Padding
,master_training_modular_block_type,Custom
,master_training_modular_block_type,Predefine
